_donationid,_projectid,_donor_acctid,_cartid,donor_city,donor_state,donor_zip,is_teacher_acct,donation_timestamp,dollar_amount,donation_included_optional_support,payment_method,payment_included_acct_credit,payment_included_campaign_gift_card,payment_included_web_purchased_gift_card,via_giving_page,for_honoree,thank_you_packet_mailed
"798b59bfda2a7dd69a1a02f6bb007969","364c61a92927942f7241ecdc1dcc1c04","0279494d19a3242564f205fd276489bb","9b506a85accd8d37803275a9cdc38e15","Tampa",FL,"336**",true,2011-04-01 09:07:42.747,10_to_100,false,no_cash_received,false,true,false,false,false,false
"f62da928c465bbf3dff577250cf81b37","5c31f28d20ba125633acfdbec54af154","c7975b6ff4f7d7bce36f0471ef3f5ac4","493eb24f6c5a74777337ae25e08c70ce",,MI,,false,2011-04-01 09:07:23.076,10_to_100,true,no_cash_received,false,true,false,true,false,false
"2b85d5054dbc5139515ebde35371d770","74d0f6f07fbeb2135d96abf7f20c5316","7cf901c40a38d9636c99a83d6332ae14","137047edf90b9262b2d204fea3a0153d",,FL,,false,2011-04-01 09:07:09.231,10_to_100,true,no_cash_received,false,true,false,false,false,false
"361f4188ad9f2045e3e659452e6adf8d","273023455f92e8030a1b4df763a28e9e","badc5aa0ff5c2cd631c75443541274c0","e777e7a0ec5738facf297dc1eb93057d",,FL,,false,2011-04-01 09:06:56.645,10_to_100,true,no_cash_received,false,true,false,false,false,false
"9053aa6ecf39adacb4674f95abe46031","9c7644fa847d5e305460010f1f53f8bb","091dd027cc4da49fc94c6eff97622da4","c5490e0c504a80ca034c778c6489f7a1",,FL,,false,2011-04-01 09:06:55.604,10_to_100,true,no_cash_received,false,true,false,false,false,false
"f1029b92a9bdcacf08ebecc27ed8cc3d","389aeb8e603a41ee484d4bf3d379e093","299142fb318a0608c4dd590541f29374","0f9b083cf6b418ec79d5b1dfb7a2556d",,,,false,2011-04-01 09:06:52.503,10_to_100,true,no_cash_received,false,true,false,false,false,false
"4386eea65ea6213d507d3d9c7b2094ef","e1e37764f0686ee5c17306d8e6893771","67b10e26469c2b8d21e41012ad88f3b7","25c8c0faf684281de278115d2ea5e42b",,TN,,false,2011-04-01 09:06:45.526,10_to_100,true,no_cash_received,false,true,false,false,false,false
"5bce6dbc1ac9c7493b937c8c1c23a1c3","a03f89ea0b946b3bde9b9cb94c7715f2","e8db2e4ebf770fe1a61a31d277930fc3","4bdc21a4f5b3fdd9fe15ffb5432e7e5d",,,,false,2011-04-01 09:06:17.334,10_to_100,true,no_cash_received,false,true,false,false,false,false
"67818aa5d4eddeab51d20150d55e5a47","47b3bd9ad5ad4a1fb131fac75d616cc8","858f59110680acaf6b49eb59472f1f18","980c2f19bb3eef075819b1f443ee2dee",,,,false,2011-04-01 09:05:53.306,10_to_100,true,no_cash_received,false,true,false,false,false,false
"ac2aed2e768165e435bb534e387e3c64","a840c6bb75c715b326312cdd5d84c715","67af3ec07189b8cb1d21efbbc4b2e6c7","56ea2a6930c394ea988ccb74c412b357",,,,false,2011-04-01 09:05:52.002,10_to_100,true,no_cash_received,false,true,false,false,false,false
"bcf001445f58dddfff9c4e850be567eb","416b58fc20c89f6a1b0769e27075d408","a8b62084db05cf74a47b9233c36f162d","d9dc067116eab50fa3a2f601954ba75b","Plant City",FL,"335**",true,2011-04-01 09:05:16.187,10_to_100,true,no_cash_received,false,true,false,false,false,false
"d235a89d5befb38319f414693dabbb28","43796b1be10816a80645fe6d4b24e090","e00e89c59b287348be7a8cfa985613e6","6e7e93ea32c4a85400c32883d84b952d",,FL,,false,2011-04-01 09:04:49.186,10_to_100,true,no_cash_received,false,true,false,false,false,false
"d666061aeff0de51fadf3af44c265502","90f5b4976c3c47fffa0618aa22711606","b2218d26b7d6918750597a657d73972c","cbad6a6cc52ac38392106093866c6587",,TN,,false,2011-04-01 09:04:37.675,10_to_100,true,no_cash_received,false,true,false,true,false,false
"86429b217da658f4e39ffc6f2a2e0818","3a198a0123f20c302afaacead4867c44","38d7159f24ba7db8c1875a4fe596c529","d6298869dbd1920b3c165366363159da",,,,true,2011-04-01 09:04:33.402,10_to_100,true,no_cash_received,false,true,false,false,false,false
"e1530720a115d69c0c31bfe31ea39cdb","9c7644fa847d5e305460010f1f53f8bb","091dd027cc4da49fc94c6eff97622da4","5c7071d571a9a74e4bfe82ffbf09a859",,FL,,false,2011-04-01 09:04:18.738,10_to_100,true,no_cash_received,false,true,false,false,false,false
"5a69cb6cee1485664fdbec8632c7a3b3","15cc08a7fae93bb42c9dcf48a94585ee","d44dc5c60aba11ad0e4183e90167a03f","6af219ccfebb44819b5f152370d20652","Philadelphia",PA,"191**",false,2011-04-01 09:04:15.356,100_and_up,true,creditcard,false,true,false,false,false,false
"e505cc030f9b442e3b037b912ff1e2f5","47b3bd9ad5ad4a1fb131fac75d616cc8","fdbac7e4fd0d1679b47e0f0e452b8b06","45f9eb82cfbf2f5c55f75eb0d473ec9c",,,,false,2011-04-01 09:04:00.77,10_to_100,true,no_cash_received,false,true,false,false,false,false
"e783e24a2daba93558bce832be3b969a","06b14a4e45d5279100cd616bee753d9d","8df9d38462d484e7864757645fd8e943","ba26ce28014c4655562fc6d06c60310c",,WA,,false,2011-04-01 09:03:26.143,10_to_100,true,creditcard,false,false,false,false,true,false
"d925d42befc7339bed9c1594d59687fa","9ec74518df8bd847503513d4679ab0a5","03db36adc7d7cf319f85c03aeaa9ecdb","b09d6184cf88a304184a342a7781af26","Zephyrhills ",FL,"335**",true,2011-04-01 09:03:19.384,10_to_100,true,no_cash_received,false,true,false,false,false,false
